Title,Link
"Eco-epidemiological assessment of the COVID-19 epidemic in China, January–February 2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084625311&doi=10.1080%2f16549716.2020.1760490&partnerID=40&md5=50f3c9bbcb81471bb8c960f0ac5d8419"
"Dynamic surveillance of SARS-CoV-2 shedding and neutralizing antibody in children with COVID-19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086346201&doi=10.1080%2f22221751.2020.1772677&partnerID=40&md5=5e1b3a819cf4a995c7ca4d912a9fc809"
"A generalized overview of SARS-COV-2: Where does the current knowledge stand?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085579950&doi=10.29333%2fejgm%2f8258&partnerID=40&md5=56a1943c63239b4a9ae7d9f3b83a31ef"
"A human monoclonal antibody blocking SARS-CoV-2 infection","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084214161&doi=10.1038%2fs41467-020-16256-y&partnerID=40&md5=82c851a1404bc8fde3724c853fd8ffe3"
"Attenuated SARS-CoV-2 variants with deletions at the S1/S2 junction","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083865808&doi=10.1080%2f22221751.2020.1756700&partnerID=40&md5=14285aa868f45d6dc3482d8d4eb688d4"
"Recruitability and effect of PEEP in SARS-Cov-2-associated acute respiratory distress syndrome","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084462291&doi=10.1186%2fs13613-020-00675-7&partnerID=40&md5=f4710e24aae69e3d54aeff36f113144e"
"Acute myocarditis and multisystem inflammatory emerging disease following SARS-CoV-2 infection in critically ill children","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086006288&doi=10.1186%2fs13613-020-00690-8&partnerID=40&md5=90c66a71cd6684f5bac40536f3ee846e"
"The role of environmental factors to transmission of SARS-CoV-2 (COVID-19)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084813340&doi=10.1186%2fs13568-020-01028-0&partnerID=40&md5=f42b3d3b8272a39b66384f54f7145305"
"ddPCR: a more accurate tool for SARS-CoV-2 detection in low viral load specimens","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086051263&doi=10.1080%2f22221751.2020.1772678&partnerID=40&md5=1bb5f0c704375883173f21f9169224eb"
"Genetic cluster analysis of SARS-CoV-2 and the identification of those responsible for the major outbreaks in various countries","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086354845&doi=10.1080%2f22221751.2020.1773745&partnerID=40&md5=0aaa2c576dfa0526f2a30a7cb4f72e50"
"Mutations in SARS-CoV-2 viral RNA identified in Eastern India: Possible implications for the ongoing outbreak in India and impact on viral structure and host susceptibility","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086002826&doi=10.1007%2fs12038-020-00046-1&partnerID=40&md5=9da519881004b5d0b73924935677860d"
"A “One-Health” approach for diagnosis and molecular characterization of SARS-CoV-2 in Italy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083833059&doi=10.1016%2fj.onehlt.2020.100135&partnerID=40&md5=ed5c24a97035e66b28a5096f3134ee94"
"COVID-19 in Kenya","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085522621&doi=10.29333%2fejgm%2f7896&partnerID=40&md5=558ac1d05646a12abbf560e65515d042"
"Immunogenicity of a DNA vaccine candidate for COVID-19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085155682&doi=10.1038%2fs41467-020-16505-0&partnerID=40&md5=5d6597474d137f9cefe6d6589d1fd256"
"Two linear epitopes on the SARS-CoV-2 spike protein that elicit neutralising antibodies in COVID-19 patients","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085874948&doi=10.1038%2fs41467-020-16638-2&partnerID=40&md5=fa73f83e1ef836eaf10cb286a7f900d1"
"Different longitudinal patterns of nucleic acid and serology testing results based on disease severity of COVID-19 patients","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083865811&doi=10.1080%2f22221751.2020.1756699&partnerID=40&md5=4fa9f2465b7a104b9927cb94fdf62ead"
"Role of point-of-care ultrasound during the COVID-19 pandemic: our recommendations in the management of dialytic patients","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085999957&doi=10.1186%2fs13089-020-00177-4&partnerID=40&md5=28b4280b8a2b5bb9a40491d32772feb0"
"Global efforts on vaccines for COVID-19: Since, sooner or later, we all will catch the coronavirus","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084721221&doi=10.1007%2fs12038-020-00040-7&partnerID=40&md5=cbe2bc39485b6b20eb72cc6a6038e21d"
"Induction of “cytokine storm” in patients infected with sars-cov-2 and development of COVID-19. Does the gastrointestinal tract any relation in severity? [Inducción de “tormenta de citocinas” en pacientes infectados con sars- cov-2 y desarrollo de covid-19. ¿tiene el tracto gastrointestinal alguna relación en la gravedad?]","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086339842&doi=10.22516%2f25007440.539&partnerID=40&md5=993ec316f0ef211d8132779be0a189dc"
"Characterization of spike glycoprotein of SARS-CoV-2 on virus entry and its immune cross-reactivity with SARS-CoV","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082511797&doi=10.1038%2fs41467-020-15562-9&partnerID=40&md5=7ed64e5c303510c7a615303017c29eaa"
"Management of patients with inflammatory bowel disease during the covid-19 pandemic [Manejo de pacientes con enfermedad inflamatoria intestinal durante la pandemia de covid-19]","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086323581&doi=10.22516%2f25007440.537&partnerID=40&md5=eb321f7aa46a9da9bb9cad3072efd98d"
"Immune response in COVID-19: addressing a pharmacological challenge by targeting pathways triggered by SARS-CoV-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085635646&doi=10.1038%2fs41392-020-0191-1&partnerID=40&md5=6feb728ff9108980a95b877b15c50cca"
"Liver implications during the covid-19 pandemic [Implicaciones hepáticas en la pandemia por covid-19]","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086328357&doi=10.22516%2f25007440.535&partnerID=40&md5=287650e052d8da975fa345a869e066a5"
"Rheumotologitsts' view on the use of hydroxychloroquine to treat COVID-19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084272669&doi=10.1080%2f22221751.2020.1760145&partnerID=40&md5=6522a06fe9c4a797f40d954356e23b75"
"Detection of air and surface contamination by SARS-CoV-2 in hospital rooms of infected patients","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085688865&doi=10.1038%2fs41467-020-16670-2&partnerID=40&md5=1f17ba9b347eafb74933c55b06094f7f"
"Assessment of risk conferred by coding and regulatory variations of TMPRSS2 and CD26 in susceptibility to SARS-CoV-2 infection in human","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086233687&doi=10.1007%2fs12041-020-01217-7&partnerID=40&md5=63d939dd104d905612fc1432e0e4db38"
"Laparoscopy in the coronavirus disease 2019 (COVID-19) era","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084705806&doi=10.1186%2fs10397-020-01070-7&partnerID=40&md5=e36c193c27f6b3f632265177d1beadff"
"SARS-CoV-2 infection serology: a useful tool to overcome lockdown?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085530102&doi=10.1038%2fs41420-020-0275-2&partnerID=40&md5=5d946ce35b82f2c717317313db442a1b"
"Short report on implications of Covid-19 and emerging zoonotic infectious diseases for pastoralists and Africa","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086237812&doi=10.1186%2fs13570-020-00173-2&partnerID=40&md5=abc14831e80fe887912e179c802eed74"
