Year,Link,Affiliations																																																																																													
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084625311&doi=10.1080%2f16549716.2020.1760490&partnerID=40&md5=50f3c9bbcb81471bb8c960f0ac5d8419"",""Department of Epidemiology and Global Health, Umeå University, Umeå, Sweden"	 Aberdeen Centre for Health Data Science (ACHDS), Institute of Applied Health Sciences, School of Medicine, Medical Sciences and Nutrition, University of Aberdeen, Aberdeen, United Kingdom	" MRC/Wits Rural Public Health and Health Transitions Research Unit (Agincourt), School of Public Health, Faculty of Health Sciences, University of the Witwatersrand, Johannesburg, South Africa"""																																																																																											
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086346201&doi=10.1080%2f22221751.2020.1772677&partnerID=40&md5=5e1b3a819cf4a995c7ca4d912a9fc809"",""Department of Clinical Laboratory, Children's Hospital of Fudan UniversityShanghai, China"	 Department of Infectious Diseases, Children's Hospital of Fudan UniversityShanghai, China	" Key Laboratory of Medical Molecular Virology (MOE/NHC/CAMS), School of Basic Medical Sciences, Fudan UniversityShanghai, China"""																																																																																											
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085579950&doi=10.29333%2fejgm%2f8258&partnerID=40&md5=56a1943c63239b4a9ae7d9f3b83a31ef"",""Department of Mathematics and Natural Sciences, Brac University, Dhaka, Bangladesh"	 Department of Mathematics and Natural Sciences, Brac University, Dhaka, Bangladesh	 Department of Genetic Engineering and Biotechnology, School of Life Sciences, Shahjalal University of Science and Technology, Sylhet, Bangladesh	 Department of Biotechnology and Genetic Engineering, Faculty of Biological Sciences, Jahangirnagar University, Dhaka, Bangladesh	" Child Health Research Foundation, Dhaka, Bangladesh"""																																																																																									
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084214161&doi=10.1038%2fs41467-020-16256-y&partnerID=40&md5=82c851a1404bc8fde3724c853fd8ffe3"",""Virology Section, Infectious Diseases and Immunology Division, Department of Biomolecular Health Sciences, Faculty of Veterinary Medicine, Utrecht University, Utrecht, Netherlands"	 Department of Cell Biology, Erasmus Medical Center, Rotterdam, Netherlands	 Harbour BioMed, Rotterdam, Netherlands	 Department of Viroscience, Erasmus Medical Center, Rotterdam, Netherlands	" University of Veterinary Medicine, Hannover, Germany"""																																																																																									
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083865808&doi=10.1080%2f22221751.2020.1756700&partnerID=40&md5=14285aa868f45d6dc3482d8d4eb688d4"",""Department of Microbiology and State Key Laboratory for Emerging Infectious Diseases, Li Ka Shing Faculty of Medicine, University of Hong Kong, Hong Kong SAR, China"	" State Key Laboratory of Respiratory Disease, First Affiliated Hospital of Guangzhou Medical University, Guangzhou Medical University, Institute of Integration of Traditional and Western Medicine, Guangzhou, China"""																																																																																												
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084462291&doi=10.1186%2fs13613-020-00675-7&partnerID=40&md5=f4710e24aae69e3d54aeff36f113144e"",""Département de Médecine Intensive-Réanimation, CHU d’Angers, Université d’Angers, 4 rue Larrey, Angers Cedex 9, 49933, France"	" INSERM, UMR 955, Créteil, France"""																																																																																												
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086006288&doi=10.1186%2fs13613-020-00690-8&partnerID=40&md5=90c66a71cd6684f5bac40536f3ee846e"",""Pediatric Intensive Care Unit, Necker-Enfants-Malades University Hospital, Assistance Publique-Hôpitaux de Paris, Paris, France"	 Pediatric and Neonatal Intensive Care Unit, Armand-Trousseau University Hospital, Assistance Publique-Hôpitaux de Paris, Paris, France	 Pediatric Intensive Care Unit, Robert Debré University Hospital, Assistance Publique-Hôpitaux de Paris, Université de Paris, Paris, France	 Pediatric and Neonatal Intensive Care Unit, Kremlin-Bicêtre University Hospital, Assistance Publique-Hôpitaux de Paris, Paris, France	 M3C-Necker, Congenital and Pediatric Cardiology, Necker-Enfants-Malades University Hospital, Assistance Publique-Hôpitaux de Paris, Paris, France	 Laboratoire de Virologie, Paris University, EA 7328, Paris, France	 Paediatric Hematology-Immunology and Rheumatology Unit, Reference center for Rheumatic, AutoImmune and Systemic diseases in children (RAISE), Necker-Enfants Malades University Hospital, Assistance Publique-Hôpitaux de Paris, IMAGINE Institute, Université de Paris, Paris, France	 Pediatric and Neonatal Intensive Care unit, Armand-Trousseau University Hospital, Assistance Publique-Hôpitaux de Paris, Sorbonne University, Paris, France	" Pediatric Intensive Care Unit, Necker-Enfants-Malades University Hospital, Assistance Publique-Hôpitaux de Paris, Paris University, EA7323, Paris, 75006, France"""																																																																																					
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084813340&doi=10.1186%2fs13568-020-01028-0&partnerID=40&md5=f42b3d3b8272a39b66384f54f7145305"",""Occupational Environment Research Center, Department of Environmental Health Engineering, School of Health, Rafsanjan University of Medical Sceiences, Rafsanjan, Iran"	" Environmental Science and Technology Research Center, Department of Environmental Health Engineering, School of Public Health, Shahid Sadoughi University of Medical Sciences, Pardis Campus, Gomnam Blv, Alem Squre, Yazd, Iran"""																																																																																												
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086051263&doi=10.1080%2f22221751.2020.1772678&partnerID=40&md5=1bb5f0c704375883173f21f9169224eb"",""State Key Laboratory of Virology, Renmin Hospital, Wuhan University, Wuhan, China"	 State Key Laboratory of Virology, Modern Virology Research Center, College of Life Sciences, Wuhan University, Wuhan, China	 Department of Infectious Disease, Zhongnan Hospital, Wuhan University, Wuhan, China	" Frontier Science Center for Immunology and Metabolism, Wuhan University, Wuhan, China"""																																																																																										
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086354845&doi=10.1080%2f22221751.2020.1773745&partnerID=40&md5=0aaa2c576dfa0526f2a30a7cb4f72e50"",""Department of Infectious Diseases and Public Health, Jockey Club College of Veterinary Medicine and Life Sciences, City University of Hong Kong, Kowloon, Hong Kong"	" State Key Lab of Chemical Biology and Drug Discovery, Department of Applied Biology and Chemical Technology, The Hong Kong Polytechnic University, Kowloon, Hong Kong"""																																																																																												
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086002826&doi=10.1007%2fs12038-020-00046-1&partnerID=40&md5=9da519881004b5d0b73924935677860d"",""National Institute of Biomedical Genomics, PO: NSS, Kalyani, 741 251, India"	 ICMR-National Institute of Cholera and Enteric Diseases, P-33, C.I.T. Road, Scheme XM, Beleghata, Kolkata, 700 010, India	 Department of Microbiology and Cell Biology, Indian Institute of Science, Bengaluru, 560 012, India	" Molecular Biophysics Unit, Indian Institute of Science, Bengaluru, 560 012, India"""																																																																																										
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083833059&doi=10.1016%2fj.onehlt.2020.100135&partnerID=40&md5=ed5c24a97035e66b28a5096f3134ee94"",""Istituto Zooprofilattico Sperimentale dell'Abruzzo e Molise “G. Caporale”, Teramo, Italy"	 Ospedale San Liberatore Presidio COVID-19 Atri, Teramo, Italy	 Direzione Sanitaria ASL, Teramo, Italy	 Reparto di Microbiologia e Virologia clinica, Ospedale Civile Spirito Santo, Pescara, Italy	 UOSD Malattie Infettive Ospedale G. Mazzini, Teramo, Italy	 UOC Malattie Infettive Ospedale SS Filippo e Nicola, Avezzano (L' Aquila), Italy	 UOC Malattie Infettive Ospedale S. Salvatore, L'Aquila, Italy	" Direzione Generale della Sanita' Animale e dei Farmaci Veterinari, Ministero della Salute, Roma, Italy"""																																																																																						
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085522621&doi=10.29333%2fejgm%2f7896&partnerID=40&md5=558ac1d05646a12abbf560e65515d042"",""Kenya"""																																																																																													
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085155682&doi=10.1038%2fs41467-020-16505-0&partnerID=40&md5=5d6597474d137f9cefe6d6589d1fd256"",""Inovio Pharmaceuticals, Plymouth Meeting, Philadelphia, PA  19462, United States"	 Vaccine and Immunotherapy Center, Wistar Institute, Philadelphia, PA  19104, United States	 National Infection Service, Public Health England, Porton Down, Wiltshire, United Kingdom	 Advaccine (Suzhou) Biopharmaceuticals Co., Ltd, Suzhou, China	 Key Laboratory of Medical Molecular Virology of MOH and MOE and Department of Medical Microbiology and Parasitology, School of Basic Medical Sciences, Fudan University, Shanghai, China	" Department of Molecular Biosciences, The University of Texas at Austin, Austin, TX  78712, United States"""																																																																																								
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085874948&doi=10.1038%2fs41467-020-16638-2&partnerID=40&md5=fa73f83e1ef836eaf10cb286a7f900d1"",""Singapore Immunology Network, Agency of Science, Technology and Research, Immunos, Biopolis, Singapore, 138648, Singapore"	 Department of Biological Science, National University of Singapore, Singapore, Singapore	 Department of Biochemistry, Yong Loo Lin School of Medicine, National University of Singapore, 8 Medical Drive, Singapore, 117596, Singapore	 National Centre for Infectious Diseases, 16 Jalan Tan Tock Seng, Singapore, 308442, Singapore	 Department of Infectious Diseases, Tan Tock Seng Hospital, 11 Jalan Tan Tock Seng, Singapore, 308433, Singapore	 Lee Kong Chian School of Medicine, Nanyang Technological University, 11 Mandalay Road, Singapore, 308232, Singapore	 Yong Loo Lin School of Medicine, National University of Singapore and National University Health System, 10 Medical Drive, Singapore, 117597, Singapore	 Saw Swee Hock School of Public Health, National University of Singapore and National University Health System, 12 Science Drive 2, #10-01, Singapore, 117549, Singapore	 Department of Infectious Diseases, Changi General Hospital, 2 Simei Street 3, Singapore, 529889, Singapore	 Department of Medicine, National University Hospital, 5 Lower Kent Ridge Road, Singapore, 119074, Singapore	 Department of Infectious Diseases, Singapore General Hospital, 31 Third Hospital Ave, #03-03 Bowyer Block C, Singapore, 168753, Singapore	 Emerging Infectious Disease Program, Duke-NUS Medical School, 8 College Road, Singapore, 169857, Singapore	 Biological Defence Program, DSO National Laboratories, 27 Medical Drive, Singapore, 117510, Singapore	" Institute of Infection, Veterinary and Ecological Sciences, University of Liverpool, Liverpool, 8 West Derby Street, Liverpool, L7 3EA, United Kingdom"""																																																																																
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083865811&doi=10.1080%2f22221751.2020.1756699&partnerID=40&md5=4fa9f2465b7a104b9927cb94fdf62ead"",""Department of Laboratory Medicine, Second hospital of Nanjing, Nanjing University of Chinese Medicine, Nanjing, China"	 Department of Laboratory Medicine, Nanjing Drum Tower Hospital, Nanjing University Medical School, Nanjing, China	 Department of Laboratory Medicine, Xuzhou Infectious Disease Hospital of Xuzhou Medical University, Xuzhou, China	 Medical Technology School of Xuzhou Medical University, Xuzhou Key Laboratory of Laboratory Diagnostics, Xuzhou, China	" Department of Laboratory Medicine, Affiliated Hospital of Xuzhou Medical University, Xuzhou, China"""																																																																																									
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085999957&doi=10.1186%2fs13089-020-00177-4&partnerID=40&md5=28b4280b8a2b5bb9a40491d32772feb0"",""Department of Nephrology, Santa Casa de Misericórdia de Barbacena and University of Medicine of Barbacena Department of Point of Care Ultrasound, Minas Gerais, Brazil"	 Department of Nephrology and Intensive Care Medicine, Santa Casa de Misericórdia de Barbacena and University of Medicine of Barbacena Department of Point of Care Ultrasound, Minas Gerais, Brazil	 Federal University of Juiz de Fora, Minas Gerais, Brazil	" Faculty at School of Medicine, UNIFAGOC and SUPREMA, Minas Gerais, Brazil"""																																																																																										
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084721221&doi=10.1007%2fs12038-020-00040-7&partnerID=40&md5=cbe2bc39485b6b20eb72cc6a6038e21d"",""Department of Biology, Indian Institute of Science Education and Research (IISER) Tirupati, Tirupati, 517 507, India"""																																																																																													
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086339842&doi=10.22516%2f25007440.539&partnerID=40&md5=993ec316f0ef211d8132779be0a189dc"",""Medicina interna Reumatología, gastroenterología y endoscopia digestiva, Clínica Palermo Gastroadvanced IPS, Universidad El Bosque, Bogotá, Colombia"	 Medicina intern gastroenterología y endoscopia digestiva. Clínica Palermo-Gastroadvanced IPS, Fundación Valle del Lili, Universidad El Bosque, Bogotá, Colombia	" Universidad El Bosque, Grupo de Inmunología Celular y Molecular-InmuBo. Hospital Militar/ Universidad Militar, Grupo de inmunología Clínica Aplicada, Bogotá, Colombia"""																																																																																											
