Author(s) ID	Year	Link
"7006527895;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084625311&doi=10.1080%2f16549716.2020.1760490&partnerID=40&md5=50f3c9bbcb81471bb8c960f0ac5d8419
"57200337904;57216342129;57216774225;56410369000;57216343285;55449625800;57217122675;55584800296;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086346201&doi=10.1080%2f22221751.2020.1772677&partnerID=40&md5=5e1b3a819cf4a995c7ca4d912a9fc809
"57195434373;57204783265;57195753635;7005674269;8159178800;7003271971;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085635646&doi=10.1038%2fs41392-020-0191-1&partnerID=40&md5=6feb728ff9108980a95b877b15c50cca
"57216967065;57216965835;57216962956;57216964065;57216253470;57216082465;57216969462;57216082129;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085579950&doi=10.29333%2fejgm%2f8258&partnerID=40&md5=56a1943c63239b4a9ae7d9f3b83a31ef
"57208238618;54966542700;6602828815;56807221300;6603509440;55533604400;7004255109;6701371301;7101858903;7003681993;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084214161&doi=10.1038%2fs41467-020-16256-y&partnerID=40&md5=82c851a1404bc8fde3724c853fd8ffe3
"57216557219;57216557034;57216557021;57194286379;57216556877;57216556606;57216556857;57193705140;57207851346;57216556560;57216556479;57216556468;57208540993;57216110275;57216109704;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083865808&doi=10.1080%2f22221751.2020.1756700&partnerID=40&md5=14285aa868f45d6dc3482d8d4eb688d4
"55043167800;57216737335;57216738590;57214100202;56579853400;6701632032;24831974600;55891078700;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084462291&doi=10.1186%2fs13613-020-00675-7&partnerID=40&md5=f4710e24aae69e3d54aeff36f113144e
"6506092327;57213456011;55862814600;57217061498;57195131451;55303780000;52563952900;7003281312;7102153403;57194406740;57217054156;7004583591;56993802400;56996936400;57193263504;6701627796;36703184900;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086006288&doi=10.1186%2fs13613-020-00690-8&partnerID=40&md5=90c66a71cd6684f5bac40536f3ee846e
"57193390916;57205442949;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084813340&doi=10.1186%2fs13568-020-01028-0&partnerID=40&md5=f42b3d3b8272a39b66384f54f7145305
"57217073220;57216582577;57217074182;57216123687;57216132593;57216129311;57217075586;57217075148;57217075791;55993555500;57217074998;55992800000;57216348906;57216355743;57216219604;57214533562;57206820648;57212799799;57217075572;57216772465;57217072711;7005370055;56399209300;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086051263&doi=10.1080%2f22221751.2020.1772678&partnerID=40&md5=1bb5f0c704375883173f21f9169224eb
"57217125767;57217125044;57216075128;57217126309;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086354845&doi=10.1080%2f22221751.2020.1773745&partnerID=40&md5=0aaa2c576dfa0526f2a30a7cb4f72e50
"57193359873;34877670500;57200074068;15768868700;57205133177;57217059661;57213865244;57205940788;57217061203;56378482300;57128655600;55627877210;57216407549;57215506364;24821388800;55545849400;57210101987;57213459657;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086002826&doi=10.1007%2fs12038-020-00046-1&partnerID=40&md5=9da519881004b5d0b73924935677860d
"14037845100;6602962638;18434448400;57207157454;8523867500;36114542500;7004931667;36950387900;54789878200;8506200300;57216544395;57216542984;55911415900;57216539508;57216542989;53263650800;16176100700;7006608829;7003453578;36709339300;57200242951;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083833059&doi=10.1016%2fj.onehlt.2020.100135&partnerID=40&md5=ed5c24a97035e66b28a5096f3134ee94
"57216951747;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085522621&doi=10.29333%2fejgm%2f7896&partnerID=40&md5=558ac1d05646a12abbf560e65515d042
"56945688900;55328075200;57195809172;57216888908;57210421954;7403729375;55502487300;57215195176;56797988400;55646831800;57203690654;53867494100;57216888953;57216891693;57214632412;6602970792;36176248100;56074520600;57216890509;57215006431;57216889395;57216890266;57203688848;57216890096;57208545345;57216891314;55875943400;57195806517;57216890959;57216889342;57195398196;57205458032;57210751146;56850151700;57214826425;57216890499;8333900400;57216891666;57216890308;57215876101;57216889059;57216891751;57199966001;57216889107;25824609100;14009530500;55782500200;57203690309;57189031611;11140034400;57216455274;57216774113;7402388114;36078334000;7402539983;12772055300;6701372206;7202357355;55900790700;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085155682&doi=10.1038%2fs41467-020-16505-0&partnerID=40&md5=5d6597474d137f9cefe6d6589d1fd256
"54380645000;56481525900;57217035785;57191777077;57207257661;57216930239;57202267570;57217031798;57217034156;57205610211;7004240142;57215938162;57215585628;57217030745;35484514100;57217030705;57191159187;50462822400;14016391200;7102036361;38662103600;7006343526;7201477950;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085874948&doi=10.1038%2fs41467-020-16638-2&partnerID=40&md5=fa73f83e1ef836eaf10cb286a7f900d1
"57216556457;57216557031;57216557195;57216556488;57216557205;57216556565;57216557257;57216557005;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083865811&doi=10.1080%2f22221751.2020.1756699&partnerID=40&md5=4fa9f2465b7a104b9927cb94fdf62ead
"57212815056;57200424806;57217060138;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085999957&doi=10.1186%2fs13089-020-00177-4&partnerID=40&md5=28b4280b8a2b5bb9a40491d32772feb0
"57217135766;57207789123;57217129574;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086372167&doi=10.1007%2fs12038-020-00053-2&partnerID=40&md5=6bb61f32122fcf849d9d7d884e176785
"9248946900;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084721221&doi=10.1007%2fs12038-020-00040-7&partnerID=40&md5=cbe2bc39485b6b20eb72cc6a6038e21d
"57195138853;57217116130;24377036000;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086339842&doi=10.22516%2f25007440.539&partnerID=40&md5=993ec316f0ef211d8132779be0a189dc
