Year,Link,Index Keywords																																																																																																																																																																																																																																						
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084625311&doi=10.1080%2f16549716.2020.1760490&partnerID=40&md5=50f3c9bbcb81471bb8c960f0ac5d8419"",""Betacoronavirus"	 China	 Coronavirinae	 Coronavirus infection	 epidemic	 forecasting	 human	 incidence	 pandemic	 virus pneumonia	 weather	 Betacoronavirus	 China	 Coronavirus	 Coronavirus Infections	 Disease Outbreaks	 Forecasting	 Humans	 Incidence	 Pandemics	 Pneumonia, Viral	" Weather"""	" China; Coronavirinae; Coronavirus infection; epidemic; forecasting; human; incidence; pandemic; virus pneumonia; weather; Betacoronavirus; China; Coronavirus; Coronavirus Infections; Disease Outbreaks; Forecasting; Humans; Incidence; Pandemics; Pneumonia, Viral"																																																																																																																																																																																																																
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086346201&doi=10.1080%2f22221751.2020.1772677&partnerID=40&md5=5e1b3a819cf4a995c7ca4d912a9fc809"",""neutralizing antibody"	 virus RNA	 Betacoronavirus	 biosynthesis	 blood	 child	 Coronavirus infection	 feces	 female	 human	 IC50	 immunology	 infant	 isolation and purification	 male	 nasopharynx	 oropharynx	 pandemic	 preschool child	 time factor	 virology	 virus pneumonia	" virus RNA; Betacoronavirus; biosynthesis; blood; child; Coronavirus infection; feces; female; human; IC50; immunology; infant; isolation and purification; male; nasopharynx; oropharynx; pandemic; preschool child; time factor; virology"	 Antibodies, Neutralizing	 Betacoronavirus	 Child	 Child, Preschool	 Coronavirus Infections	 Feces	 Female	 Humans	 Infant	 Inhibitory Concentration 50	 Male	 Nasopharynx	 Oropharynx	 Pandemics	 Pneumonia, Viral	 RNA, Viral	 Time Factors	" Virus Shedding"""																																																																																																																																																																																														
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085579950&doi=10.29333%2fejgm%2f8258&partnerID=40&md5=56a1943c63239b4a9ae7d9f3b83a31ef"",""angiotensin converting enzyme 2"	 angiotensin receptor antagonist	 chloroquine	 hydroxychloroquine	 lopinavir plus ritonavir	 membrane protein	 nucleocapsid protein	 remdesivir	 ribavirin	 severe acute respiratory syndrome coronavirus 2 vaccine	 unclassified drug	 virus envelope protein	 virus spike protein	 virus vaccine	 abdominal pain	 adult respiratory distress syndrome	 amino acid sequence	 Article	 computer assisted tomography	 coronavirus disease 2019	 coughing	 CRISPR Cas system	" angiotensin receptor antagonist; chloroquine; hydroxychloroquine; lopinavir plus ritonavir; membrane protein; nucleocapsid protein; remdesivir; ribavirin; severe acute respiratory syndrome coronavirus 2 vaccine; unclassified drug; virus envelope protein; virus spike protein; virus vaccine; abdominal pain; adult respiratory distress syndrome; amino acid sequence; Article; computer assisted tomography; coronavirus disease 2019; coughing"	 dyspnea	 enzyme linked immunosorbent assay	 fatigue	 fever	 hand washing	 hospitalization	 human	 immune response	 incubation time	 knowledge	 loss of appetite	 myalgia	 pandemic	 pathophysiology	 plasma transfusion	 pneumonia	 pregnancy	 prognosis	 real time polymerase chain reaction	 reinfection	 sensitivity and specificity	 sequence homology	 Severe acute respiratory syndrome coronavirus 2	 social distance	 vaccination	 virus cell interaction	 virus entry	 virus neutralization	 virus replication	 virus strain	 virus transmission	" virus virulence"""																																																																																																																																																																																
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084214161&doi=10.1038%2fs41467-020-16256-y&partnerID=40&md5=82c851a1404bc8fde3724c853fd8ffe3"",""35f4"	 43c6	 47d11	 angiotensin converting enzyme 2	 angiotensin converting enzyme 2 receptor	 angiotensin receptor	 epitope	 immunoglobulin G1	 monoclonal antibody	 neutralizing antibody	 recombinant protein	 unclassified drug	 virus spike protein	 vitronectin	 angiotensin converting enzyme 2	 coronavirus spike glycoprotein	 dipeptidyl carboxypeptidase	 monoclonal antibody	 neutralizing antibody	 protein binding	 spike protein, SARS-CoV-2	 virus antibody	" 43c6; 47d11; angiotensin converting enzyme 2; angiotensin converting enzyme 2 receptor; angiotensin receptor; epitope; immunoglobulin G1; monoclonal antibody; neutralizing antibody; recombinant protein; unclassified drug; virus spike protein; vitronectin; angiotensin converting enzyme 2; coronavirus spike glycoprotein; dipeptidyl carboxypeptidase; monoclonal antibody; neutralizing antibody; protein binding; spike protein, SARS-CoV-2"	 antibody	 cell component	 disease treatment	 epidemic	 infectious disease	 respiratory disease	 viral disease	 affinity chromatography	 amino acid sequence	 animal cell	 animal experiment	 antigen binding	 Article	 binding affinity	 binding assay	 binding kinetics	 cell fusion	 conformational transition	 conserved sequence	 controlled study	 coronavirus disease 2019	 cross reaction	 dissociation constant	 EC50	 enzyme linked immunosorbent assay	 expression vector	 flow cytometry	 genetic transfection	 human	 human cell	 hybridoma	 IC50	 immunofluorescence microscopy	 interferometry	 mouse	 nonhuman	 protein expression	 receptor binding	 SARS coronavirus	 Severe acute respiratory syndrome coronavirus 2	 syncytium	 virus inhibition	 virus neutralization	 virus plaque	 animal	 antibody affinity	 Betacoronavirus	 chemistry	 Chlorocebus aethiops	 Coronavirus infection	 drug effect	 immunology	 in vitro study	 metabolism	 molecular model	 pandemic	 protein domain	 Vero cell line	 virology	 virus pneumonia	 China	 Hubei	 Wuhan	 Coronavirus	 SARS coronavirus	 Animals	 Antibodies, Monoclonal	 Antibodies, Neutralizing	 Antibodies, Viral	 Antibody Affinity	 Betacoronavirus	 Chlorocebus aethiops	 Conserved Sequence	 Coronavirus Infections	 Cross Reactions	 Epitopes, B-Lymphocyte	 Humans	 In Vitro Techniques	 Inhibitory Concentration 50	 Models, Molecular	 Pandemics	 Peptidyl-Dipeptidase A	 Pneumonia, Viral	 Protein Binding	 Protein Domains	 Receptors, Virus	 SARS Virus	 Spike Glycoprotein, Coronavirus	" Vero Cells"""																																																																																																																							
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083865808&doi=10.1080%2f22221751.2020.1756700&partnerID=40&md5=14285aa868f45d6dc3482d8d4eb688d4"",""coronavirus spike glycoprotein"	 spike protein, SARS-CoV-2	 amino acid sequence	 animal	 cell line	 chemistry	 Chlorocebus aethiops	 Coronavirus infection	 disease model	 female	 gene deletion	 genetics	 growth, development and aging	 host range	 human	 isolation and purification	 lung	 male	 Mesocricetus	 nucleotide sequence	 pandemic	 pathogenicity	" spike protein, SARS-CoV-2; amino acid sequence; animal; cell line; chemistry; Chlorocebus aethiops; Coronavirus infection; disease model; female; gene deletion; genetics; growth, development and aging; host range; human; isolation and purification; lung; male; Mesocricetus; nucleotide sequence; pandemic"	 SARS coronavirus	 Vero cell line	 virology	 virulence	 virus pneumonia	 Amino Acid Sequence	 Animals	 Base Sequence	 Cell Line	 Chlorocebus aethiops	 Coronavirus Infections	 Disease Models, Animal	 Female	 Host Specificity	 Humans	 Lung	 Male	 Mesocricetus	 Pandemics	 Pneumonia, Viral	 SARS Virus	 Sequence Deletion	 Spike Glycoprotein, Coronavirus	 Vero Cells	" Virulence"""																																																																																																																																																																																							
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084462291&doi=10.1186%2fs13613-020-00675-7&partnerID=40&md5=f4710e24aae69e3d54aeff36f113144e"",""adult"	 adult respiratory distress syndrome	 aged	 airway pressure	 arterial oxygen tension	 Article	 breathing mechanics	 case study	 clinical article	 coronavirus disease 2019	 disease association	 female	 fraction of inspired oxygen	 human	 lung compliance	 lung gas exchange	 lung hemodynamics	 lung volume	 male	 nonhuman	 noninvasive ventilation	 positive end expiratory pressure	" adult respiratory distress syndrome; aged; airway pressure; arterial oxygen tension; Article; breathing mechanics; case study; clinical article; coronavirus disease 2019; disease association; female; fraction of inspired oxygen; human; lung compliance; lung gas exchange; lung hemodynamics; lung volume; male; nonhuman; noninvasive ventilation"	 prospective study	 recruitment to inflation ratio	 respiratory tract intubation	 respiratory tract parameters	" Severe acute respiratory syndrome coronavirus 2"""																																																																																																																																																																																																											
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086006288&doi=10.1186%2fs13613-020-00690-8&partnerID=40&md5=90c66a71cd6684f5bac40536f3ee846e"",""brain natriuretic peptide"	 C reactive protein	 corticosteroid	 dobutamine	 epinephrine	 immunoglobulin	 milrinone	 noradrenalin	 procalcitonin	 troponin	 abdominal pain	 acute kidney failure	 adolescent	 Article	 artificial ventilation	 cardiogenic shock	 cheilitis	 child	 clinical article	 conjunctivitis	 coronavirus disease 2019	 critically ill patient	" C reactive protein; corticosteroid; dobutamine; epinephrine; immunoglobulin; milrinone; noradrenalin; procalcitonin; troponin; abdominal pain; acute kidney failure; adolescent; Article; artificial ventilation; cardiogenic shock; cheilitis; child; clinical article; conjunctivitis; coronavirus disease 2019"	 fever	 heart left ventricle function	 hospital admission	 human	 hypotension	 male	 mucocutaneous lymph node syndrome	 multiple organ failure	 myocarditis	 observational study	 pediatric intensive care unit	 preschool child	 priority journal	 rash	 retrospective study	 Severe acute respiratory syndrome coronavirus 2	 tertiary care center	 transthoracic echocardiography	" vasoplegia"""																																																																																																																																																																																													
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084813340&doi=10.1186%2fs13568-020-01028-0&partnerID=40&md5=f42b3d3b8272a39b66384f54f7145305"","																						";;;;;;;;;;;;;;;;;;;"																																																																																																																																																																																																																
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086051263&doi=10.1080%2f22221751.2020.1772678&partnerID=40&md5=1bb5f0c704375883173f21f9169224eb"","																						";;;;;;;;;;;;;;;;;;;"																																																																																																																																																																																																																
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086354845&doi=10.1080%2f22221751.2020.1773745&partnerID=40&md5=0aaa2c576dfa0526f2a30a7cb4f72e50"","																						";;;;;;;;;;;;;;;;;;;"																																																																																																																																																																																																																
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086002826&doi=10.1007%2fs12038-020-00046-1&partnerID=40&md5=9da519881004b5d0b73924935677860d"",""epidemiology"	 genome	 mutation	 protein	 RNA	 severe acute respiratory syndrome	 viral disease	 India	 Miridae	 SARS coronavirus	 virus RNA	 Betacoronavirus	 Coronavirus infection	 epidemic	 genetics	 human	 India	 mutation	 pandemic	 virology	 virus pneumonia	 Betacoronavirus	" genome; mutation; protein; RNA; severe acute respiratory syndrome; viral disease; India; Miridae; SARS coronavirus; virus RNA; Betacoronavirus; Coronavirus infection; epidemic; genetics; human; India; mutation; pandemic; virology; virus pneumonia"	 Disease Outbreaks	 Host Microbial Interactions	 Humans	 India	 Mutation	 Pandemics	 Pneumonia, Viral	" RNA, Viral"""																																																																																																																																																																																																								
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083833059&doi=10.1016%2fj.onehlt.2020.100135&partnerID=40&md5=ed5c24a97035e66b28a5096f3134ee94"",""adolescent"	 adult	 aged	 Article	 avian influenza	 bluetongue	 child	 controlled study	 coronavirus disease 2019	 female	 food quality	 foot and mouth disease	 health care system	 human	 infant	 Italy	 livestock	 major clinical study	 male	 middle aged	 molecular diagnosis	 newborn	" adult; aged; Article; avian influenza; bluetongue; child; controlled study; coronavirus disease 2019; female; food quality; foot and mouth disease; health care system; human; infant; Italy; livestock; major clinical study; male; middle aged; molecular diagnosis"	 poultry	 quality control	 Severe acute respiratory syndrome coronavirus 2	 very elderly	 veterinarian	 whole genome sequencing	" young adult"""																																																																																																																																																																																																									
"2020,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085522621&doi=10.29333%2fejgm%2f7896&partnerID=40&md5=558ac1d05646a12abbf560e65515d042"","																						";;;;;;;;;;;;;;;;;;;"																																																																																																																																																																																																																
