Year,Link,Publisher
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084625311&doi=10.1080%2f16549716.2020.1760490&partnerID=40&md5=50f3c9bbcb81471bb8c960f0ac5d8419","Taylor and Francis Ltd."
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086346201&doi=10.1080%2f22221751.2020.1772677&partnerID=40&md5=5e1b3a819cf4a995c7ca4d912a9fc809","NLM (Medline)"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085579950&doi=10.29333%2fejgm%2f8258&partnerID=40&md5=56a1943c63239b4a9ae7d9f3b83a31ef","Modestum Ltd."
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084214161&doi=10.1038%2fs41467-020-16256-y&partnerID=40&md5=82c851a1404bc8fde3724c853fd8ffe3","Nature Research"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083865808&doi=10.1080%2f22221751.2020.1756700&partnerID=40&md5=14285aa868f45d6dc3482d8d4eb688d4","NLM (Medline)"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084462291&doi=10.1186%2fs13613-020-00675-7&partnerID=40&md5=f4710e24aae69e3d54aeff36f113144e","Springer"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086006288&doi=10.1186%2fs13613-020-00690-8&partnerID=40&md5=90c66a71cd6684f5bac40536f3ee846e","Springer"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084813340&doi=10.1186%2fs13568-020-01028-0&partnerID=40&md5=f42b3d3b8272a39b66384f54f7145305","Springer"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086051263&doi=10.1080%2f22221751.2020.1772678&partnerID=40&md5=1bb5f0c704375883173f21f9169224eb","NLM (Medline)"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086354845&doi=10.1080%2f22221751.2020.1773745&partnerID=40&md5=0aaa2c576dfa0526f2a30a7cb4f72e50","NLM (Medline)"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086002826&doi=10.1007%2fs12038-020-00046-1&partnerID=40&md5=9da519881004b5d0b73924935677860d","Springer"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083833059&doi=10.1016%2fj.onehlt.2020.100135&partnerID=40&md5=ed5c24a97035e66b28a5096f3134ee94","Elsevier B.V."
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085522621&doi=10.29333%2fejgm%2f7896&partnerID=40&md5=558ac1d05646a12abbf560e65515d042","Modestum Ltd."
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085155682&doi=10.1038%2fs41467-020-16505-0&partnerID=40&md5=5d6597474d137f9cefe6d6589d1fd256","Nature Research"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085874948&doi=10.1038%2fs41467-020-16638-2&partnerID=40&md5=fa73f83e1ef836eaf10cb286a7f900d1","Nature Research"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083865811&doi=10.1080%2f22221751.2020.1756699&partnerID=40&md5=4fa9f2465b7a104b9927cb94fdf62ead","NLM (Medline)"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085999957&doi=10.1186%2fs13089-020-00177-4&partnerID=40&md5=28b4280b8a2b5bb9a40491d32772feb0","Springer"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084721221&doi=10.1007%2fs12038-020-00040-7&partnerID=40&md5=cbe2bc39485b6b20eb72cc6a6038e21d","Springer"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086339842&doi=10.22516%2f25007440.539&partnerID=40&md5=993ec316f0ef211d8132779be0a189dc","Asociacion Colombiana de Gastroenterologia"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082511797&doi=10.1038%2fs41467-020-15562-9&partnerID=40&md5=7ed64e5c303510c7a615303017c29eaa","Nature Research"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086323581&doi=10.22516%2f25007440.537&partnerID=40&md5=eb321f7aa46a9da9bb9cad3072efd98d","Asociacion Colombiana de Gastroenterologia"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085635646&doi=10.1038%2fs41392-020-0191-1&partnerID=40&md5=6feb728ff9108980a95b877b15c50cca","Springer Nature"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086328357&doi=10.22516%2f25007440.535&partnerID=40&md5=287650e052d8da975fa345a869e066a5","Asociacion Colombiana de Gastroenterologia"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084272669&doi=10.1080%2f22221751.2020.1760145&partnerID=40&md5=6522a06fe9c4a797f40d954356e23b75","NLM (Medline)"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085688865&doi=10.1038%2fs41467-020-16670-2&partnerID=40&md5=1f17ba9b347eafb74933c55b06094f7f","Nature Research"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086233687&doi=10.1007%2fs12041-020-01217-7&partnerID=40&md5=63d939dd104d905612fc1432e0e4db38","Springer"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084705806&doi=10.1186%2fs10397-020-01070-7&partnerID=40&md5=e36c193c27f6b3f632265177d1beadff","Springer"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085530102&doi=10.1038%2fs41420-020-0275-2&partnerID=40&md5=5d946ce35b82f2c717317313db442a1b","Springer Nature"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086237812&doi=10.1186%2fs13570-020-00173-2&partnerID=40&md5=abc14831e80fe887912e179c802eed74","Springer"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086338401&doi=10.22516%2f25007440.536&partnerID=40&md5=1847b58f3a252c2a690378b4c9bee892","Asociacion Colombiana de Gastroenterologia"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085392753&doi=10.1016%2fj.ribaf.2020.101249&partnerID=40&md5=cbfb3d466660d5c3450d60077f70ccb4","Elsevier Ltd"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085509165&doi=10.29333%2fejgm%2f8244&partnerID=40&md5=f3852d8c175ce5b976b26e25bc1859e3","Modestum Ltd."
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085525629&doi=10.1186%2fs40634-020-00255-5&partnerID=40&md5=62733f14332540b16072ef0a64729cca","Springer"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086325614&doi=10.22516%2f25007440.532&partnerID=40&md5=7b2136a046a88b3f607bfeef2c89b8b5","Asociacion Colombiana de Gastroenterologia"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084272328&doi=10.1080%2f22221751.2020.1760146&partnerID=40&md5=ffd3c89c42d4917f99dcaa917e56d97b","NLM (Medline)"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084438050&doi=10.1038%2fs41392-020-0178-y&partnerID=40&md5=9e977458798c80a035e67ba95a6d50d9","Springer Nature"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084241090&doi=10.1038%2fs41597-020-0477-8&partnerID=40&md5=74281b0ca0322212e3f6e967ab0eae11","Nature Research"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083682263&doi=10.1186%2fs13089-020-00171-w&partnerID=40&md5=c4b76729c46bb8d1afeba1e72f282460","Springer"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086297761&doi=10.1080%2f22221751.2020.1766383&partnerID=40&md5=345895c74b7df62089c13cce23c359fe","NLM (Medline)"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084197208&doi=10.1038%2fs41421-020-0168-9&partnerID=40&md5=adc4686d2f1035d58949d4ac3effc7b2","Springer Nature"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085583169&doi=10.29333%2fejgm%2f7892&partnerID=40&md5=419f328c47a793519642d00d4dd03d03","Modestum Ltd."
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086318690&doi=10.22516%2f25007440.552&partnerID=40&md5=9f036bc862254831e27b8a9384fce8fd","Asociacion Colombiana de Gastroenterologia"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085530684&doi=10.29333%2fejgm%2f7895&partnerID=40&md5=26f942a19d4e094aa19e46d84b143565","Modestum Ltd."
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085471844&doi=10.1038%2fs41541-020-0193-6&partnerID=40&md5=71817327ed4cb3ec4d5caf560d4a0973","Nature Research"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079799485&doi=10.1038%2fs41421-020-0148-0&partnerID=40&md5=0725368d73311c24c1244cd58bb3861a","Springer Nature"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086086732&doi=10.1016%2fj.mehy.2020.109957&partnerID=40&md5=545e96e281937e19d46f66a64f963ac9","Churchill Livingstone"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085689711&doi=10.1016%2fj.mehy.2020.109899&partnerID=40&md5=8acc8f6d1ea31f2d946f22c3e5179404","Churchill Livingstone"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086084585&doi=10.1016%2fj.mehy.2020.109954&partnerID=40&md5=b0f7c709c4d12e87bf95c1be260f83f8","Churchill Livingstone"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085765074&doi=10.1016%2fj.mehy.2020.109910&partnerID=40&md5=21db38d2fff472f16362a79721eae628","Churchill Livingstone"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085743337&doi=10.1016%2fj.mehy.2020.109947&partnerID=40&md5=868a83dd94fa0f0ad0824ef97df888a5","Churchill Livingstone"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085842588&doi=10.1016%2fj.clinimag.2020.05.032&partnerID=40&md5=a095544b341b667682b0523bbc83fbce","Elsevier Inc."
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085964919&doi=10.1016%2fj.mehy.2020.109948&partnerID=40&md5=c515bfee8bcb89b7e091b3230638e29d","Churchill Livingstone"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086177032&doi=10.1016%2fj.mehy.2020.109920&partnerID=40&md5=2227a093c335149b514ba6244ca7acdb","Churchill Livingstone"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085881835&doi=10.1016%2fj.mehy.2020.109848&partnerID=40&md5=d211684a921a9873cf826ea91901d508","Churchill Livingstone"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086099330&doi=10.1016%2fj.mehy.2020.109959&partnerID=40&md5=fad9051f2ee88a17c0e55e4ced610108","Churchill Livingstone"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086175715&doi=10.1016%2fj.mehy.2020.109874&partnerID=40&md5=6edfb9d5ea08136189f7797fab405a41","Churchill Livingstone"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086155570&doi=10.1016%2fj.mehy.2020.109974&partnerID=40&md5=99713184d5088ab071f52a66e2afae00","Churchill Livingstone"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085397529&doi=10.1016%2fj.resmer.2020.100758&partnerID=40&md5=a3e9e053bcbea26e5d08a5da131fae45","Elsevier Masson SAS"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085374318&doi=10.1016%2fj.resmer.2020.100759&partnerID=40&md5=f0e18ee3db6fd5fbb3a886988f2e0ff2","Elsevier Masson SAS"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085977122&doi=10.1016%2fj.mehy.2020.109918&partnerID=40&md5=55217bb6d16092d3ab8e138fa02c6acd","Churchill Livingstone"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085770410&doi=10.1016%2fj.mehy.2020.109934&partnerID=40&md5=9b31edb4fa94320c3030f441bcb6f144","Churchill Livingstone"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086314909&doi=10.1016%2fj.scitotenv.2020.140112&partnerID=40&md5=869a9fe866c973bffb85d2f5b57dbadd","Elsevier B.V."
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085601488&doi=10.33263%2fBRIAC105.60396057&partnerID=40&md5=2845d1c2d745903dbf6b631b456504eb","AMG Transcend Association"
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085841612&doi=10.1016%2fj.scitotenv.2020.139825&partnerID=40&md5=b9d7d9a8e1bc465a8b8debe83f75d721","Elsevier B.V."
2020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085940318&doi=10.1016%2fj.mehy.2020.109893&partnerID=40&md5=7f4840f102ffd476b064af11c81c4681","Churchill Livingstone"
